SYMBOL,COMPANY_NAME_API,NSE_INDUSTRY,SECTOR,INDEX_MEMBERSHIP
BANDHANBNK,Bandhan Bank Limited,Private Sector Bank,Financials,"NIFTY500,NIFTYSMALLCAP250"
BANG,Bang Overseas Limited,Garments & Apparels,Consumer Discretionary,
BANKA,Banka BioLoo Limited,Civil Construction,Real Estate & Construction,
BANKBARODA,Bank of Baroda,Public Sector Bank,Financials,"NIFTY100,NIFTY500"
BANKINDIA,Bank of India,Public Sector Bank,Financials,"NIFTY500,NIFTYMIDCAP150"
BANSALWIRE,Bansal Wire Industries Limited,Iron & Steel Products,Materials,
BANSWRAS,Banswara Syntex Limited,Other Textile Products,Consumer Discretionary,
BASF,BASF India Limited,Specialty Chemicals,Materials,"NIFTY500,NIFTYSMALLCAP250"
BASML,Bannari Amman Spinning Mills Limited,Other Textile Products,Consumer Discretionary,
BATAINDIA,Bata India Limited,Footwear,Consumer Discretionary,"NIFTY500,NIFTYSMALLCAP250"
BAYERCROP,Bayer Cropscience Limited,Pesticides & Agrochemicals,Materials,"NIFTY500,NIFTYSMALLCAP250"
BBL,Bharat Bijlee Limited,Other Electrical Equipment,Industrials,
BBOX,Black Box Limited,IT Enabled Services,Information Technology,
BBTC,Bombay Burmah Trading Corporation Limited,Packaged Foods,Consumer Staples,"NIFTY500,NIFTYSMALLCAP250"
BBTCL,B&B Triplewall Containers Limited,Packaging,Materials,
BCG,Brightcom Group Limited,IT Enabled Services,Information Technology,
BCLIND,Bcl Industries Limited,Breweries & Distilleries,Consumer Staples,
BCONCEPTS,Brand Concepts Limited,Speciality Retail,Consumer Discretionary,
BDL,Bharat Dynamics Limited,Aerospace & Defense,Industrials,"NIFTY500,NIFTYMIDCAP150"
BEARDSELL,Beardsell Limited,Other Industrial Products,Industrials,
BECTORFOOD,Mrs. Bectors Food Specialities Limited,Packaged Foods,Consumer Staples,
BEDMUTHA,Bedmutha Industries Limited,Iron & Steel Products,Materials,
BEL,Bharat Electronics Limited,Aerospace & Defense,Industrials,"NIFTY100,NIFTY50,NIFTY500"
BELLACASA,Bella Casa Fashion & Retail Limited,Garments & Apparels,Consumer Discretionary,
BELRISE,Belrise Industries Limited,Auto Components & Equipments,Consumer Discretionary,
BEML,BEML Limited,Construction Vehicles,Real Estate & Construction,"NIFTY500,NIFTYSMALLCAP250"
BEPL,Bhansali Engineering Polymers Limited,Specialty Chemicals,Materials,
BERGEPAINT,Berger Paints (I) Limited,Paints,Materials,"NIFTY500,NIFTYMIDCAP150"
BESTAGRO,Best Agrolife Limited,Pesticides & Agrochemicals,Materials,
BETA,Beta Drugs Limited,Pharmaceuticals,Healthcare & Pharma,
BFINVEST,BF Investment Limited,Holding Company,Diversified / Others,
BFUTILITIE,BF Utilities Limited,Road Assets - Toll Annuity Hybrid-Annuity,Diversified / Others,
BGRENERGY,BGR Energy Systems Limited,Civil Construction,Real Estate & Construction,
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,Pesticides & Agrochemicals,Materials,
BHAGERIA,Bhageria Industries Limited,Dyes And Pigments,Materials,
BHAGYANGR,Bhagyanagar India Limited,Copper,Materials,
BHANDARI,Bhandari Hosiery Exports Limited,Other Textile Products,Consumer Discretionary,
BHARATFORG,Bharat Forge Limited,Auto Components & Equipments,Consumer Discretionary,"NIFTY500,NIFTYMIDCAP150"
BHARATGEAR,Bharat Gears Limited,Auto Components & Equipments,Consumer Discretionary,
BHARATRAS,Bharat Rasayan Limited,Pesticides & Agrochemicals,Materials,
BHARATSE,Bharat Seats Limited,Auto Components & Equipments,Consumer Discretionary,
BHARATWIRE,Bharat Wire Ropes Limited,Iron & Steel Products,Materials,
BHARTIARTL,Bharti Airtel Limited,Telecom - Cellular & Fixed line services,Telecom,"NIFTY100,NIFTY50,NIFTY500"
BHARTIHEXA,Bharti Hexacom Limited,Telecom - Cellular & Fixed line services,Telecom,"NIFTY500,NIFTYMIDCAP150"
BHEL,Bharat Heavy Electricals Limited,Heavy Electrical Equipment,Industrials,"NIFTY500,NIFTYMIDCAP150"
BIGBLOC,Bigbloc Construction Limited,Cement & Cement Products,Materials,
BIKAJI,Bikaji Foods International Limited,Packaged Foods,Consumer Staples,"NIFTY500,NIFTYSMALLCAP250"
BIL,Bhartiya International Limited,Leather And Leather Products,Diversified / Others,
BILVYAPAR,BIL VYAPAR LIMITED,Holding Company,Diversified / Others,
BIOCON,Biocon Limited,Pharmaceuticals,Healthcare & Pharma,"NIFTY500,NIFTYMIDCAP150"
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,Pharmaceuticals,Healthcare & Pharma,
BIRLACABLE,Birla Cable Limited,Telecom - Equipment & Accessories,Telecom,
BIRLACORPN,Birla Corporation Limited,Cement & Cement Products,Materials,
BIRLAMONEY,Aditya Birla Money Limited,Stockbroking & Allied,Financials,
BIRLANU,BirlaNu Limited,Furniture Home Furnishing,Diversified / Others,
BLACKBUCK,BLACKBUCK LIMITED,Transport Related Services,Diversified / Others,
BLAL,BEML Land Assets Limited,Investment Company,Financials,
BLBLIMITED,BLB Limited,Investment Company,Financials,
BLISSGVS,Bliss GVS Pharma Limited,Pharmaceuticals,Healthcare & Pharma,
BLKASHYAP,B. L. Kashyap and Sons Limited,Civil Construction,Real Estate & Construction,
